"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","policy","n_rep","mean_objective","se_objective","q025_objective","median_objective","q975_objective","mean_regret","mean_retrains","se_retrains"
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","never_retrain",100,62.2132344755638,9.62419667366507,0.817991474696635,19.2733927136203,331.90948192387,62.2132344755638,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","alarm_tuned",100,0.323085978491554,0.00451134240462898,0.244733032170572,0.322787289515744,0.403796929716881,0.141847318664723,12.16,0.221436996534778
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","always_retrain",100,3.018337132527,0.000706961364348322,3.00576145350414,3.01885315898648,3.03287948980473,0.0523426172688275,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","calendar_tuned",100,1.05858411569213,0.00108853570225516,1.0403235678213,1.05707450076873,1.07922193970156,0.0748874422899237,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","calendar10",100,0.413918094988452,0.00279397316803672,0.368137776876541,0.410454536376429,0.472641253827117,0.130732689009028,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","cusum_tuned",100,0.419181984523709,0.00385567663972123,0.357150271579244,0.414706671535046,0.494841865418891,0.1130436561649,20.54,0.198183671569501
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","debt_threshold_tuned",100,0.409312809209642,0.0158965400277089,0.215708257363163,0.37528219256725,0.783436167121716,0.370859211976646,2.58,0.191316544506794
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","debt_utility_tuned",100,0.747268884969297,0.00235140731949352,0.703146159187344,0.748483847165568,0.785210196175153,0.0780570571547636,44.9,0.122680499878771
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","hybrid_utility_tuned",100,0.549646817018588,0.0213428810641836,0.31116382199184,0.506362599149865,1.09537285963715,0.336661582731958,14.29,1.07132458369831
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none","never_retrain",100,0.960623495874141,0.0627027269397995,0.235519535367029,0.797527145687905,2.70619320460349,0.960623495874141,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","alarm_tuned",100,5.95516518155443,0.261380323686674,0.338001404825234,6.06676693310614,9.87657890705393,5.71550090112552,16.08,0.151544239632051
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","always_retrain",100,3.95347643764009,0.0428277510135068,3.013348807659,3.99345506562359,4.6228779756221,0.987481922381919,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","calendar_tuned",100,2.88622506864056,0.0829978397094116,1.06117134539141,2.92914151957459,4.15896442845152,1.90252839523835,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","calendar10",100,5.42363448625217,0.23105856393054,0.418183544297893,5.59032039779323,9.53275148443603,5.14044908027275,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","cusum_tuned",100,2.12611270302646,0.065434339301881,0.42693022696896,2.18083822324306,2.93089221064555,1.39251345658924,49.22,0.914703683321997
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","debt_threshold_tuned",100,2.09967232975548,0.0604231759850068,0.307240717657094,2.17666909932503,2.98219905046683,1.63718584830592,31.03,1.03029416217217
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","debt_utility_tuned",100,2.19485526556373,0.0587000213250296,0.75638120051773,2.21867890618598,2.98899371174203,1.29417662959865,60.43,0.538282904102002
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","hybrid_utility_tuned",100,2.38165448808249,0.0901191158158953,0.489823534643525,2.36072105395855,4.55208075472551,1.51957849430092,57.84,1.64413374078138
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance","never_retrain",100,111.392438402996,6.51859224575035,0.407579355760456,108.584986888077,226.647308046032,111.392438402996,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","alarm_tuned",100,12.0014192301435,1.83098800388131,0.357257452894388,5.43230375502884,72.3722310187213,11.7581778709022,16.32,0.167500942255755
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","always_retrain",100,4.91697935844489,0.292390014191168,3.02218838109581,3.82743819273235,14.3230957200887,1.95098484318672,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","calendar_tuned",100,4.87540352718573,0.595370911851455,1.06503671631954,2.66613570639514,24.6182971692406,3.89170685378352,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","calendar10",100,11.0482079328865,1.68519416400447,0.426245044569713,4.89344856068608,68.0580296910119,10.7650225269071,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","cusum_tuned",100,3.20136333940136,0.332275091588436,0.419728338736422,2.17053043964669,14.274897687428,2.37639953829814,55.35,2.241634279365
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef","debt_threshold_tuned",100,3.18061883571252,0.324228158770288,0.409417420193501,2.202300507442,13.2252021878185,2.66537044178048,34.57,1.9822574112472
