"score_unit_mode","target_policy","benchmark","shift_type","n_cells","cell_wins","cell_win_rate","mean_relative"
"q75","debt_utility_tuned","cusum_tuned","gradual",24,0,0,1.29184347342804
"q75","debt_utility_tuned","cusum_tuned","variance",24,6,0.25,1.07172797534245
"q75","debt_utility_tuned","alarm_tuned","abrupt_coef",24,24,1,0.45459503692725
"q75","debt_utility_tuned","alarm_tuned","gradual",24,18,0.75,0.754513895874425
"q75","debt_utility_tuned","alarm_tuned","variance",24,24,1,0.597019293780357
"q75","debt_utility_tuned","debt_threshold_tuned","abrupt_coef",24,4,0.166666666666667,1.13414366665231
"q75","debt_utility_tuned","debt_threshold_tuned","gradual",24,4,0.166666666666667,1.3068077162492
"q75","debt_utility_tuned","debt_threshold_tuned","variance",24,4,0.166666666666667,1.13092296565718
"q75","debt_utility_tuned","always_retrain","abrupt_coef",24,24,1,0.440408502494707
"q75","debt_utility_tuned","always_retrain","gradual",24,24,1,0.435872955003864
"q75","debt_utility_tuned","always_retrain","variance",24,24,1,0.366651148455671
"q75","debt_utility_tuned","never_retrain","abrupt_coef",24,24,1,0.0234326651274722
"q75","debt_utility_tuned","never_retrain","gradual",24,24,1,0.0640929758449661
"q75","debt_utility_tuned","never_retrain","variance",24,24,1,0.0351183609605623
"q75","hybrid_utility_tuned","calendar10","abrupt_coef",24,24,1,0.452803672022643
"q75","hybrid_utility_tuned","calendar10","gradual",24,22,0.916666666666667,0.707011575433989
"q75","hybrid_utility_tuned","calendar10","variance",24,24,1,0.61655578612745
"q75","hybrid_utility_tuned","calendar_tuned","abrupt_coef",24,24,1,0.668703329001013
"q75","hybrid_utility_tuned","calendar_tuned","gradual",24,21,0.875,0.908158353222658
"q75","hybrid_utility_tuned","calendar_tuned","variance",24,24,1,0.808184530317455
"q75","hybrid_utility_tuned","cusum_tuned","abrupt_coef",24,0,0,1.08330971749704
"q75","hybrid_utility_tuned","cusum_tuned","gradual",24,0,0,1.24306064139058
"q75","hybrid_utility_tuned","cusum_tuned","variance",24,2,0.0833333333333333,1.11800987879274
"q75","hybrid_utility_tuned","alarm_tuned","abrupt_coef",24,24,1,0.442671001712822
"q75","hybrid_utility_tuned","alarm_tuned","gradual",24,19,0.791666666666667,0.729951033184577
"q75","hybrid_utility_tuned","alarm_tuned","variance",24,24,1,0.619365329169735
"q75","hybrid_utility_tuned","debt_threshold_tuned","abrupt_coef",24,2,0.0833333333333333,1.10645829734872
"q75","hybrid_utility_tuned","debt_threshold_tuned","gradual",24,4,0.166666666666667,1.25678807015113
"q75","hybrid_utility_tuned","debt_threshold_tuned","variance",24,1,0.0416666666666667,1.18024517995841
"q75","hybrid_utility_tuned","always_retrain","abrupt_coef",24,24,1,0.433094379442439
"q75","hybrid_utility_tuned","always_retrain","gradual",24,24,1,0.416868291593429
"q75","hybrid_utility_tuned","always_retrain","variance",24,24,1,0.385416911407164
"q75","hybrid_utility_tuned","never_retrain","abrupt_coef",24,24,1,0.0228360030706494
"q75","hybrid_utility_tuned","never_retrain","gradual",24,24,1,0.0623438836794294
"q75","hybrid_utility_tuned","never_retrain","variance",24,24,1,0.0360414608814405
