"axis","severity","score_unit_mode","n_reps","dt_cusum_win_mean","dt_cusum_win_sd","dt_cusum_ratio_mean","dt_cusum_ratio_sd","dt_cusum_ratio_q05","dt_cusum_ratio_q95","dt_calendar_ratio_mean","frac_deployed_better","mean_sqrt_debt"
"nonlinear",0.4,"q75",4,0.565972222222222,0.0971395150849877,1.02797693030915,0.0223270942954287,1.00804125757904,1.04951284918309,0.728682349679656,0.237705078125,1.31743786857179
"nonlinear",0.4,"mean",4,0.614583333333333,0.0738204570328793,1.00805896457416,0.00966025077347409,0.997175531377842,1.01696603490466,0.686002863439765,0.237705078125,1.31743786857179
"nonlinear",0.8,"median",4,0.00347222222222223,0.00694444444444445,1.82082969257093,0.232813714436508,1.60953312113871,2.08177351839055,1.51281049828966,0.1916015625,1.59177750294808
"nonlinear",0.8,"q75",4,0.0347222222222222,0.0330621686506613,1.44216734062111,0.146820216631976,1.32091381404907,1.61607103179722,1.06354947750051,0.1916015625,1.59177750294808
"nonlinear",0.8,"mean",4,0.0277777777777778,0.0300034291592956,1.38392769572399,0.117830329373381,1.29588976528421,1.52535711189322,1.01645658219576,0.1916015625,1.59177750294808
"tail",3,"median",8,0.532986111111111,0.249551791781396,1.01241787748386,0.214105677536545,0.884855257982476,1.36243781234343,0.79416767005333,0.2766015625,1.43278544800015
"tail",3,"q75",8,0.675347222222222,0.291613515565238,0.962964729361732,0.18537702895675,0.844236341583771,1.25897832479309,0.629327840615857,0.2766015625,1.43278544800015
"tail",3,"mean",8,0.741319444444444,0.302741142024129,0.945118969714978,0.179046497128258,0.835096419223831,1.23354864422151,0.592980787709956,0.2766015625,1.43278544800015
"tail",4,"median",8,0.65625,0.0671239278731639,0.964863177340878,0.0249495822363578,0.932371759966468,0.991066680798611,0.80091550412526,0.275283203125,1.31007307601812
"tail",4,"q75",8,0.902777777777778,0.0314970394174357,0.911018909990265,0.0141222145380508,0.897230766619469,0.93265649815548,0.615500149649057,0.275283203125,1.31007307601812
"tail",4,"mean",8,0.953125,0.0286927675872609,0.907479323360912,0.00875688275448179,0.900024156676917,0.920989463904421,0.585479036203597,0.275283203125,1.31007307601812
"tail",5,"median",8,0.588541666666667,0.0868749722444224,0.995772580941525,0.0268299487259908,0.966461657344784,1.03550739999354,0.837585927448687,0.271181640625,1.24830056599504
"tail",5,"q75",8,0.873263888888889,0.0636198181467295,0.934001024943328,0.0144596074919776,0.921334951997624,0.956249984448679,0.637091827914136,0.271181640625,1.24830056599504
"tail",5,"mean",8,0.911458333333333,0.0704050622854241,0.927925184829745,0.0123302344217115,0.91537383454815,0.94726251920939,0.608185250308653,0.271181640625,1.24830056599504
"tail",6,"median",8,0.567708333333333,0.0351658172118373,0.997594151023393,0.0127863481716233,0.979214904063856,1.01249304034635,0.839679911226242,0.267080078125,1.26282243613106
"tail",6,"q75",8,0.885416666666667,0.0098209275164799,0.932092712104509,0.00745140732415106,0.923504230654401,0.942990981197958,0.636666263392653,0.267080078125,1.26282243613106
"tail",6,"mean",8,0.973958333333333,0.0215645487294488,0.925100007936246,0.00693594442899379,0.915906293769295,0.934249799108436,0.605912786719069,0.267080078125,1.26282243613106
"tail",8,"median",8,0.491319444444445,0.0508620029309865,1.01623083440694,0.0153409187190745,0.999896110359719,1.03800185553388,0.861296227068109,0.2601611328125,1.25659586031344
"tail",8,"q75",8,0.861111111111111,0.0332007947037332,0.945052560620862,0.0113526288414552,0.93228459503043,0.961021252882964,0.648264193674153,0.2601611328125,1.25659586031344
"tail",8,"mean",8,0.930555555555555,0.0481125224324687,0.938319342555028,0.0143850408126008,0.918498739740946,0.956483800348713,0.619529868835002,0.2601611328125,1.25659586031344
"tail",Inf,"median",8,0.46875,0.0275286446934754,1.02198548765275,0.011104080471466,1.00686929325346,1.03450364773012,0.863752518423024,0.246181640625,1.25022952787565
"tail",Inf,"q75",8,0.850694444444444,0.0178019429017128,0.954595782627816,0.00471515675051234,0.948081465188353,0.960615975599442,0.654552344129905,0.246181640625,1.25022952787565
"tail",Inf,"mean",8,0.928819444444444,0.0409579272883789,0.950417385313021,0.00687758083334649,0.94401307016507,0.961125815921173,0.625197297917751,0.246181640625,1.25022952787565
