"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"q75",72,0.916666666666667,0.894269330142944,1,0.600918708256619,0.2923046875,1.41989059016206,"hetero",4,1,"signed"
"mean",72,1,0.883746923612848,1,0.581244379997164,0.2923046875,1.41989059016206,"hetero",4,1,"signed"
"median",72,0.680555555555556,0.956565290202715,0.833333333333333,0.786654940572412,0.310078125,1.32551279755416,"hetero",4,2,"signed"
"q75",72,0.930555555555556,0.913554694295753,1,0.585562231495742,0.310078125,1.32551279755416,"hetero",4,2,"signed"
"mean",72,1,0.90556481247646,1,0.549188489252647,0.310078125,1.32551279755416,"hetero",4,2,"signed"
"median",72,0.652777777777778,0.952165801003467,0.75,0.815309919141044,0.310625,1.25596752140198,"hetero",4,3,"signed"
"q75",72,0.888888888888889,0.913775798276139,1,0.630688928650737,0.310625,1.25596752140198,"hetero",4,3,"signed"
"mean",72,0.972222222222222,0.902014369243395,1,0.591349385629753,0.310625,1.25596752140198,"hetero",4,3,"signed"
"median",72,0.444444444444444,1.03373009254377,0.722222222222222,0.858521421494792,0.243203125,1.32726059725536,"nonlinear",0,1,"signed"
"q75",72,0.861111111111111,0.956236989914125,1,0.64573053962881,0.243203125,1.32726059725536,"nonlinear",0,1,"signed"
"mean",72,0.944444444444444,0.944536505990982,1,0.621159992067494,0.243203125,1.32726059725536,"nonlinear",0,1,"signed"
"median",72,0.513888888888889,1.00355488228189,0.694444444444444,0.84174719255197,0.2559375,1.23155233127688,"nonlinear",0,2,"signed"
"q75",72,0.875,0.947145278956418,1,0.64060080979961,0.2559375,1.23155233127688,"nonlinear",0,2,"signed"
"mean",72,0.958333333333333,0.946631136707243,1,0.606434035629434,0.2559375,1.23155233127688,"nonlinear",0,2,"signed"
"median",72,0.472222222222222,1.01675520003426,0.666666666666667,0.88720827427008,0.255859375,1.17207790982141,"nonlinear",0,3,"signed"
"q75",72,0.847222222222222,0.955263049924711,1,0.668970655126566,0.255859375,1.17207790982141,"nonlinear",0,3,"signed"
"mean",72,0.888888888888889,0.960582437976861,1,0.629889077108402,0.255859375,1.17207790982141,"nonlinear",0,3,"signed"
"median",72,0.402777777777778,1.05389759529325,0.708333333333333,0.868015031360794,0.2478125,1.33901709408516,"nonlinear",0.2,1,"signed"
"q75",72,0.819444444444444,0.962723371555328,1,0.653510885121639,0.2478125,1.33901709408516,"nonlinear",0.2,1,"signed"
"mean",72,0.916666666666667,0.945730362816703,1,0.629521669056693,0.2478125,1.33901709408516,"nonlinear",0.2,1,"signed"
"median",72,0.472222222222222,1.01649864933608,0.680555555555556,0.849104160543568,0.2630078125,1.24226167488803,"nonlinear",0.2,2,"signed"
"q75",72,0.847222222222222,0.952052379894671,1,0.648769945704042,0.2630078125,1.24226167488803,"nonlinear",0.2,2,"signed"
"mean",72,0.972222222222222,0.94745659125271,1,0.614731198400154,0.2630078125,1.24226167488803,"nonlinear",0.2,2,"signed"
"median",72,0.402777777777778,1.03534973711409,0.680555555555556,0.88687719905235,0.2605859375,1.18804500224809,"nonlinear",0.2,3,"signed"
"q75",72,0.777777777777778,0.96699059829098,1,0.679142944185606,0.2605859375,1.18804500224809,"nonlinear",0.2,3,"signed"
"mean",72,0.777777777777778,0.975342809398235,1,0.640760242467389,0.2605859375,1.18804500224809,"nonlinear",0.2,3,"signed"
"median",72,0.236111111111111,1.21711230024289,0.611111111111111,0.99477025002502,0.2299609375,1.40077939818427,"nonlinear",0.4,1,"signed"
"q75",72,0.472222222222222,1.05052580284148,0.944444444444444,0.734954735126189,0.2299609375,1.40077939818427,"nonlinear",0.4,1,"signed"
"mean",72,0.597222222222222,1.01356684316856,1,0.696764726293311,0.2299609375,1.40077939818427,"nonlinear",0.4,1,"signed"
"median",72,0.138888888888889,1.17938172660243,0.666666666666667,0.962646068994765,0.2434375,1.31864071646677,"nonlinear",0.4,2,"signed"
"q75",72,0.5,1.04377277845219,0.958333333333333,0.734679217278399,0.2434375,1.31864071646677,"nonlinear",0.4,2,"signed"
"mean",72,0.555555555555556,1.01756589226985,1,0.681767309027758,0.2434375,1.31864071646677,"nonlinear",0.4,2,"signed"
"median",72,0.263888888888889,1.11875145575311,0.652777777777778,0.946359469890729,0.248671875,1.25481670975241,"nonlinear",0.4,3,"signed"
"q75",72,0.611111111111111,1.00989501624634,0.972222222222222,0.726043708440446,0.248671875,1.25481670975241,"nonlinear",0.4,3,"signed"
"mean",72,0.583333333333333,1.00537446150238,1,0.678997698901166,0.248671875,1.25481670975241,"nonlinear",0.4,3,"signed"
"median",72,0,1.8948189095118,0.291666666666667,1.55297151878967,0.1855078125,1.66450048441299,"nonlinear",0.8,1,"signed"
"q75",72,0.0138888888888889,1.45050032163414,0.597222222222222,1.06680153412428,0.1855078125,1.66450048441299,"nonlinear",0.8,1,"signed"
"mean",72,0.0138888888888889,1.38438756909023,0.625,1.02707243547047,0.1855078125,1.66450048441299,"nonlinear",0.8,1,"signed"
"median",72,0,2.11476550819268,0.25,1.74003562803531,0.190390625,1.63728506830601,"nonlinear",0.8,2,"signed"
"q75",72,0,1.64528939241423,0.5,1.16569112543383,0.190390625,1.63728506830601,"nonlinear",0.8,2,"signed"
"mean",72,0,1.55023409003493,0.5,1.12353922996779,0.190390625,1.63728506830601,"nonlinear",0.8,2,"signed"
"median",72,0,1.67591582650518,0.333333333333333,1.42891594959659,0.2031640625,1.52940957973399,"nonlinear",0.8,3,"signed"
"q75",72,0.0694444444444444,1.35861983874512,0.597222222222222,1.03274039412208,0.2031640625,1.52940957973399,"nonlinear",0.8,3,"signed"
